0	1.0000000
1	0.7943282
2	0.6309573
3	0.5011872
4	0.3981072
5	0.3162278
6	0.2511886
7	0.1995262
8	0.1584893
9	0.1258925
10	0.1000000
11	0.0794328
12	0.0630957
13	0.0501187
14	0.0398107
15	0.0316228
16	0.0251189
17	0.0199526
18	0.0158489
19	0.0125893
20	0.0100000
21	0.0079433
22	0.0063096
23	0.0050119
24	0.0039811
25	0.0031623
26	0.0025119
27	0.0019953
28	0.0015849
29	0.0012589
30	0.0010000
31	0.0007943
32	0.0006310
33	0.0005012
34	0.0003981
35	0.0003162
36	0.0002512
37	0.0001995
38	0.0001585
39	0.0001259
40	0.0001000
41	0.0000794
42	0.0000631
43	0.0000501
44	0.0000398
45	0.0000316
46	0.0000251
47	0.0000200
48	0.0000158
49	0.0000126
50	0.0000100
51	0.0000079
52	0.0000063
53	0.0000050
54	0.0000040
55	0.0000032
56	0.0000025
57	0.0000020
58	0.0000016
59	0.0000013
60	0.0000010
61	0.0000008
62	0.0000006
63	0.0000005
64	0.0000004
65	0.0000003
66	0.0000003
67	0.0000002
68	0.0000002
69	0.0000001
70	0.0000001
